model_id,scene,corridor,split,trained_on,labelled,window_x,window_y,is_window_top1,score,box_x0,box_y0,box_x1,box_y1,box_w_px,box_h_px,box_area_px,kp_blue_x,kp_blue_y,kp_red_x,kp_red_y,kp_green_x,kp_green_y,kp_score_blue,kp_score_red,kp_score_green,kp_score_mean,streak_len_px,streak_len_m,seg_blue_red_px,seg_red_green_px,spacing_ratio,collinearity_px,bearing_deg,blue_utm_x,blue_utm_y,red_utm_x,red_utm_y,green_utm_x,green_utm_y,dist_to_nearest_label_m,matched_label_idx,matched_bool,kp_err_px
kprcnn-adamiak-v2,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,0,0,1,0.17867,33.73,36.09,40.2,53.54,6.47,17.45,112.82,40.04,36.26,37.45,46.14,36.48,38.89,-5.2893,6.054,8.9375,3.234,4.425,13.28,10.211,7.308,1.397,6.398,216.5,519873.11,5425208.23,519865.35,5425178.59,519862.44,5425200.33,7492.44,,0,
kprcnn-adamiak-v2,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,0,0,0,0.07089,20.59,29.74,38.17,41.39,17.58,11.66,204.89,27.72,39.56,29.38,35.56,23.74,32.9,-4.5221,0.1805,9.342,1.6668,7.759,23.28,4.327,6.236,0.694,3.473,120.9,519836.17,5425198.32,519841.15,5425210.31,519824.23,5425218.3,7531.9,,0,
kprcnn-adamiak-v2,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,0,0,0,0.0661,31.46,27.37,39.72,40.13,8.26,12.76,105.43,37.25,38.0,35.59,32.77,35.92,37.68,-5.7757,3.6717,9.7989,2.565,1.362,4.09,5.488,4.918,1.116,4.684,166.1,519864.74,5425202.99,519859.78,5425218.69,519860.77,5425203.97,7524.41,,0,
kprcnn-adamiak-v2,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,0,0,0,0.06544,28.34,28.99,43.0,36.7,14.66,7.71,113.04,42.84,29.15,35.84,33.0,34.51,36.53,-5.0562,1.2524,5.264,0.4868,11.135,33.4,7.989,3.777,2.115,1.759,221.6,519881.51,5425229.56,519860.52,5425218.0,519856.52,5425207.4,7523.4,,0,
kprcnn-adamiak-v2,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,40,40,1,0.4161,46.66,48.28,57.47,62.53,10.81,14.25,154.06,54.03,58.72,52.06,55.73,55.01,60.38,-0.656,11.5311,7.841,6.2387,1.927,5.78,3.573,5.498,0.65,0.169,300.7,519915.08,5425140.85,519909.19,5425149.8,519918.03,5425135.87,7440.94,,0,
kprcnn-adamiak-v2,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,40,160,1,0.12149,55.22,198.75,72.03,206.77,16.81,8.02,134.8,71.86,205.0,63.95,203.4,58.68,200.19,-5.1146,2.5603,8.882,2.1093,14.036,42.11,8.072,6.173,1.308,1.205,160.0,519968.58,5424701.99,519944.85,5424706.8,519929.03,5424716.42,7112.37,,0,
kprcnn-adamiak-v2,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,40,160,0,0.07545,57.97,193.6,72.73,200.11,14.76,6.51,96.13,72.57,193.76,66.67,196.04,62.07,194.74,-4.8049,1.7283,13.0859,3.3364,10.54,31.62,6.328,4.773,1.326,1.723,185.3,519970.71,5424735.72,519953.0,5424728.88,519939.22,5424732.79,7121.08,,0,
kprcnn-adamiak-v2,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,40,160,0,0.06675,58.12,190.19,75.88,202.14,17.76,11.95,212.29,75.72,190.36,67.16,196.0,61.57,194.34,-4.9128,1.4543,11.8011,2.7809,14.694,44.08,10.247,5.833,1.757,3.114,195.7,519980.15,5424745.93,519954.49,5424729.0,519937.72,5424733.98,7120.05,,0,
kprcnn-adamiak-v2,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,120,160,1,0.19556,148.14,175.16,156.56,187.98,8.42,12.83,108.01,155.11,185.84,153.16,181.9,154.46,185.84,-4.6411,6.0021,5.6969,2.3526,0.648,1.94,4.399,4.154,1.059,3.946,180.0,520218.32,5424759.47,520212.49,5424771.3,520216.38,5424759.47,6959.84,,0,
kprcnn-adamiak-v2,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,120,160,0,0.07784,144.19,177.74,159.07,186.01,14.88,8.27,123.05,155.6,184.52,152.96,181.87,146.67,183.86,-4.3835,4.0709,8.1016,2.5964,8.952,26.86,3.742,6.589,0.568,2.443,175.8,520219.8,5424763.45,520211.87,5424771.39,520193.02,5424765.43,6960.35,,0,
