model_id,scene,corridor,split,trained_on,labelled,window_x,window_y,is_window_top1,score,box_x0,box_y0,box_x1,box_y1,box_w_px,box_h_px,box_area_px,kp_blue_x,kp_blue_y,kp_red_x,kp_red_y,kp_green_x,kp_green_y,kp_score_blue,kp_score_red,kp_score_green,kp_score_mean,streak_len_px,streak_len_m,seg_blue_red_px,seg_red_green_px,spacing_ratio,collinearity_px,bearing_deg,blue_utm_x,blue_utm_y,red_utm_x,red_utm_y,green_utm_x,green_utm_y,dist_to_nearest_label_m,matched_label_idx,matched_bool,kp_err_px
kprcnn-warmup-v1,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,0,0,1,0.64172,45.21,49.32,57.98,62.58,12.77,13.27,169.4,54.54,59.77,51.92,56.12,54.87,60.43,-2.6642,5.8437,-2.4035,0.2587,0.74,2.22,4.491,5.222,0.86,0.734,296.3,519916.62,5425137.7,519908.76,5425148.65,519917.6,5425135.71,7440.44,,0,
kprcnn-warmup-v1,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,0,0,0,0.49735,32.54,39.1,41.36,55.65,8.83,16.55,146.1,34.01,45.22,36.95,45.55,33.03,44.56,-6.2774,2.3233,-2.9308,-2.295,1.183,3.55,2.961,4.047,0.732,1.372,146.0,519855.02,5425181.34,519863.85,5425180.34,519852.08,5425183.32,7494.73,,0,
kprcnn-warmup-v1,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,0,0,0,0.23545,30.84,40.46,43.31,50.53,12.47,10.07,125.51,34.29,45.49,36.91,45.82,32.98,44.52,-6.7273,2.552,-0.5782,-1.5845,1.634,4.9,2.645,4.146,0.638,1.304,143.4,519855.86,5425180.52,519863.74,5425179.54,519851.93,5425183.44,7494.26,,0,
kprcnn-warmup-v1,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,0,0,0,0.20004,23.18,27.88,32.03,40.27,8.85,12.39,109.67,24.65,32.29,27.6,34.57,30.22,30.33,-2.3782,0.4806,-4.7153,-2.2043,5.906,17.72,3.73,4.985,0.748,3.131,19.3,519826.95,5425220.14,519835.8,5425213.3,519843.67,5425226.01,7537.81,,0,
kprcnn-warmup-v1,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,0,0,0,0.11261,22.77,31.05,37.0,42.42,14.23,11.37,161.79,25.25,33.48,28.89,36.41,35.51,37.06,-2.0195,0.6773,-2.3411,-1.2277,10.865,32.6,4.669,6.652,0.702,1.563,340.8,519828.75,5425216.55,519839.67,5425207.78,519859.53,5425205.83,7531.19,,0,
kprcnn-warmup-v1,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,0,0,0,0.10309,38.51,44.0,45.79,61.99,7.29,17.98,131.01,44.3,58.82,41.99,53.49,43.64,47.17,-5.7007,0.2304,5.301,-0.0564,11.673,35.02,5.81,6.54,0.888,2.012,93.3,519885.91,5425140.53,519878.96,5425156.52,519883.92,5425175.5,7467.3,,0,
kprcnn-warmup-v1,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,0,0,0,0.06663,32.9,46.34,46.19,51.98,13.3,5.63,74.92,36.39,46.51,37.05,47.5,44.03,47.84,-5.7717,-0.1595,2.9741,-0.9857,7.76,23.28,1.196,6.989,0.171,0.866,350.2,519862.16,5425177.47,519864.16,5425174.49,519885.1,5425173.49,7490.43,,0,
kprcnn-warmup-v1,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,40,0,1,0.58276,45.83,46.77,58.53,63.89,12.7,17.12,217.48,54.14,60.43,52.18,56.15,55.44,60.76,-3.4227,6.2712,2.0914,1.6466,1.344,4.03,4.706,5.644,0.834,3.671,345.8,519915.41,5425135.7,519909.55,5425148.55,519919.32,5425134.72,7439.8,,0,
kprcnn-warmup-v1,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,40,0,0,0.05117,40.0,43.18,45.92,59.98,5.92,16.8,99.53,44.77,59.82,41.15,51.91,43.78,45.98,-3.5806,0.7548,3.7703,0.3149,13.873,41.62,8.696,6.489,1.34,3.048,94.1,519887.31,5425137.55,519876.46,5425161.27,519884.35,5425179.06,7472.41,,0,
kprcnn-warmup-v1,Bellingham_01_20260425,blaine-bellingham/I-5-north,trained,1,1,0,40,1,0.6966,32.64,40.29,41.05,53.58,8.41,13.28,111.65,37.97,43.45,37.0,46.11,33.12,44.78,-4.0508,2.0254,-1.9082,-1.3112,5.028,15.08,2.828,4.101,0.69,2.306,195.3,519866.92,5425186.65,519864.01,5425178.68,519852.37,5425182.67,7493.46,,0,
