model_id,scene,corridor,split,trained_on,labelled,window_x,window_y,is_window_top1,score,box_x0,box_y0,box_x1,box_y1,box_w_px,box_h_px,box_area_px,kp_blue_x,kp_blue_y,kp_red_x,kp_red_y,kp_green_x,kp_green_y,kp_score_blue,kp_score_red,kp_score_green,kp_score_mean,streak_len_px,streak_len_m,seg_blue_red_px,seg_red_green_px,spacing_ratio,collinearity_px,bearing_deg,blue_utm_x,blue_utm_y,red_utm_x,red_utm_y,green_utm_x,green_utm_y,dist_to_nearest_label_m,matched_label_idx,matched_bool,kp_err_px
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,90,1,0.17065,272.25,114.48,285.02,122.5,12.78,8.03,102.58,274.71,117.21,277.98,117.21,282.9,119.45,-4.7849,-0.0807,10.286,1.8068,8.493,25.48,3.276,5.404,0.606,0.867,344.7,693944.12,5155724.38,693953.94,5155724.38,693968.69,5155717.64,111.89,,0,
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,90,0,0.06896,281.92,105.72,290.53,137.24,8.61,31.53,271.31,290.36,105.88,287.05,121.15,284.41,131.44,-5.2138,-2.9764,7.6193,-0.1903,26.239,78.72,15.621,10.623,1.47,0.243,256.9,693991.09,5155758.36,693981.16,5155712.56,693973.22,5155681.69,96.03,,0,
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,120,1,0.23157,285.12,139.71,297.74,153.71,12.62,14.0,176.71,287.61,153.55,288.94,151.88,286.94,144.88,-0.033,0.2077,13.2761,4.4836,8.691,26.07,2.131,7.277,0.293,1.452,94.4,693982.82,5155615.36,693986.81,5155620.36,693980.83,5155641.36,4.79,26,1,2.343
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,120,0,0.16481,283.98,147.82,299.7,155.82,15.72,8.0,125.72,287.42,154.32,289.71,151.99,296.92,149.99,2.9543,2.4398,8.6943,4.6961,10.437,31.31,3.271,7.475,0.438,1.171,24.5,693982.27,5155613.04,693989.14,5155620.04,694010.75,5155626.04,6.3,26,1,5.719
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,120,0,0.15414,282.8,143.85,297.61,150.36,14.81,6.51,96.44,297.45,144.01,291.19,146.61,286.59,144.99,-4.7567,-0.6322,15.2768,3.296,10.903,32.71,6.773,4.886,1.386,2.034,185.1,694012.34,5155643.97,693993.58,5155636.16,693979.76,5155641.04,21.86,,0,
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,120,0,0.12705,278.43,155.67,291.74,167.41,13.31,11.75,156.32,281.59,165.29,283.59,162.36,288.58,164.64,4.8818,5.9118,9.7832,6.8589,7.017,21.05,3.551,5.488,0.647,2.738,5.3,693964.78,5155580.12,693970.77,5155588.93,693985.74,5155582.08,30.59,,0,
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,120,0,0.10336,273.67,134.0,288.73,147.24,15.06,13.24,199.31,276.78,136.48,281.36,141.45,286.27,144.1,-4.3985,2.9996,16.0835,4.8949,12.167,36.5,6.756,5.578,1.211,1.006,321.3,693950.34,5155666.55,693964.08,5155651.66,693978.81,5155643.71,40.29,,0,
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,120,0,0.07124,285.03,139.87,292.63,159.67,7.6,19.8,150.53,287.84,156.21,288.83,151.59,286.51,144.99,5.2352,5.7521,16.2012,9.0628,11.299,33.9,4.726,6.994,0.676,1.525,96.7,693983.51,5155607.38,693986.48,5155621.24,693979.54,5155641.04,5.34,26,1,1.463
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,150,1,0.24276,281.78,184.69,294.91,197.25,13.14,12.55,164.91,285.22,195.1,288.51,192.13,292.45,194.77,-3.6942,4.0462,10.6484,3.6668,7.233,21.7,4.43,4.745,0.934,2.82,2.6,693975.67,5155490.7,693985.53,5155499.62,693997.35,5155491.69,116.96,,0,
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,150,0,0.21838,281.42,159.97,292.87,179.19,11.45,19.22,219.96,281.92,166.43,285.51,171.07,283.22,179.02,0.6513,5.1375,9.6216,5.1368,12.657,37.97,5.87,8.274,0.709,3.099,275.9,693965.75,5155576.7,693976.54,5155562.78,693969.67,5155538.93,54.29,,0,
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,150,0,0.11354,280.28,165.31,291.26,176.61,10.98,11.29,123.97,282.11,167.14,285.44,171.12,283.11,176.11,1.1965,5.7299,8.4964,5.1409,9.025,27.07,5.192,5.5,0.944,2.865,276.3,693966.33,5155574.58,693976.31,5155562.63,693969.33,5155547.68,54.47,,0,
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,150,0,0.10482,281.27,172.53,294.61,180.44,13.33,7.91,105.41,290.44,178.62,287.11,176.98,283.44,177.64,-5.2229,2.1816,12.6366,3.1984,7.069,21.21,3.718,3.725,0.998,1.165,172.0,693991.32,5155540.13,693981.32,5155545.07,693970.32,5155543.09,71.55,,0,
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,150,0,0.08051,282.71,165.08,292.28,194.78,9.58,29.7,284.48,284.52,188.01,286.83,182.07,283.86,177.45,-5.1842,2.3147,8.7175,1.9493,10.581,31.74,6.374,5.494,1.16,2.678,93.6,693973.57,5155511.97,693980.5,5155529.79,693971.59,5155543.65,86.85,,0,
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,150,0,0.07912,282.39,174.28,290.55,189.12,8.15,14.84,121.05,290.38,185.66,286.79,182.03,283.86,177.41,-4.3421,4.2484,10.9735,3.6266,10.515,31.55,5.103,5.472,0.933,0.563,128.3,693991.15,5155519.02,693980.38,5155529.91,693971.58,5155543.77,86.73,,0,
kprcnn-adamiak-v2,Yakima-Toppenish_03_20260614,Yakima (arid),unseen,0,1,270,150,0,0.05557,284.38,192.35,296.57,197.21,12.2,4.85,59.19,292.78,196.4,288.83,195.1,292.78,195.1,-4.6999,2.5312,10.5809,2.8041,1.294,3.88,4.162,3.956,1.052,3.956,90.0,693998.35,5155486.8,693986.48,5155490.69,693998.35,5155490.69,125.91,,0,
