model_id,scene,corridor,split,trained_on,labelled,window_x,window_y,is_window_top1,score,box_x0,box_y0,box_x1,box_y1,box_w_px,box_h_px,box_area_px,kp_blue_x,kp_blue_y,kp_red_x,kp_red_y,kp_green_x,kp_green_y,kp_score_blue,kp_score_red,kp_score_green,kp_score_mean,streak_len_px,streak_len_m,seg_blue_red_px,seg_red_green_px,spacing_ratio,collinearity_px,bearing_deg,blue_utm_x,blue_utm_y,red_utm_x,red_utm_y,green_utm_x,green_utm_y,dist_to_nearest_label_m,matched_label_idx,matched_bool,kp_err_px
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,120,0,1,0.12488,177.68,57.0,184.0,63.08,6.32,6.08,38.42,181.84,59.72,181.17,59.72,181.84,61.96,-0.4147,-7.1477,-3.1264,-3.5629,2.241,6.72,0.665,2.337,0.285,0.665,270.0,693665.52,5155896.84,693663.52,5155896.84,693665.52,5155890.11,425.65,,0,
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,120,0,0,0.07743,178.39,59.4,184.0,63.96,5.61,4.56,25.6,181.85,60.22,181.19,60.54,181.85,61.84,-0.6737,-7.0927,-3.6453,-3.8039,1.629,4.89,0.736,1.461,0.504,0.66,270.0,693665.56,5155895.35,693663.58,5155894.37,693665.56,5155890.47,423.99,,0,
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,120,0,0,0.05316,180.68,52.16,183.33,64.0,2.66,11.84,31.47,181.84,59.56,182.17,59.23,181.84,61.86,-2.0988,-7.8837,-3.6578,-4.5468,2.303,6.91,0.468,2.652,0.176,0.332,270.0,693665.52,5155897.32,693666.52,5155898.31,693665.52,5155890.41,424.38,,0,
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,240,0,1,0.24164,295.65,31.36,304.0,41.34,8.35,9.98,83.39,303.84,37.18,301.91,36.52,297.09,36.52,-4.2157,-0.25,-4.6813,-3.049,6.781,20.34,2.04,4.82,0.423,0.473,174.4,694031.52,5155964.45,694025.73,5155966.44,694011.27,5155966.44,352.36,,0,
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,240,0,0,0.07991,295.78,53.84,304.0,63.87,8.22,10.03,82.51,303.51,56.91,301.86,57.89,298.57,62.09,-4.341,-0.8442,-4.4287,-3.2046,7.153,21.46,1.91,5.341,0.358,0.521,226.4,694030.52,5155905.26,694025.59,5155902.34,694015.72,5155889.72,288.8,,0,
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,240,0,0,0.07717,261.44,26.63,275.36,37.3,13.92,10.67,148.47,272.21,35.2,268.23,31.64,264.26,31.97,0.9049,-2.656,-6.1366,-2.6292,8.585,25.75,5.334,3.99,1.337,1.797,157.9,693936.63,5155970.41,693924.7,5155981.07,693912.77,5155980.1,369.28,,0,
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,120,40,1,0.10341,172.53,40.0,184.0,47.77,11.47,7.77,89.18,172.69,41.13,181.54,42.11,174.66,44.7,-2.0384,-4.73,-0.4295,-2.3993,4.069,12.21,8.904,7.356,1.211,7.279,298.9,693638.07,5155952.6,693664.62,5155949.68,693643.97,5155941.91,461.4,,0,
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,200,40,1,0.05499,252.59,40.0,264.0,44.47,11.41,4.47,51.04,263.18,40.48,261.55,42.71,254.38,42.4,-4.8406,-2.635,-0.7331,-2.7362,9.012,27.04,2.767,7.182,0.385,1.838,192.3,693909.55,5155954.56,693904.66,5155947.86,693883.14,5155948.81,340.62,,0,
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,240,80,1,0.11765,261.78,101.0,275.93,116.59,14.15,15.59,220.56,273.47,111.12,268.86,109.46,264.25,107.8,-8.2473,0.8658,-1.5713,-2.9843,9.793,29.38,4.897,4.897,1.0,0.0,160.2,693940.4,5155742.65,693926.58,5155747.63,693912.76,5155752.6,143.04,,0,
kprcnn-nojitter-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,40,120,1,0.05206,98.02,177.16,104.0,183.36,5.98,6.2,37.07,101.51,180.26,101.18,180.26,101.51,181.89,-1.5836,-7.4422,-3.7186,-4.2481,1.632,4.89,0.332,1.665,0.2,0.332,270.0,693424.53,5155535.22,693423.53,5155535.22,693424.53,5155530.32,566.23,,0,
