model_id,scene,corridor,split,trained_on,labelled,window_x,window_y,is_window_top1,score,box_x0,box_y0,box_x1,box_y1,box_w_px,box_h_px,box_area_px,kp_blue_x,kp_blue_y,kp_red_x,kp_red_y,kp_green_x,kp_green_y,kp_score_blue,kp_score_red,kp_score_green,kp_score_mean,streak_len_px,streak_len_m,seg_blue_red_px,seg_red_green_px,spacing_ratio,collinearity_px,bearing_deg,blue_utm_x,blue_utm_y,red_utm_x,red_utm_y,green_utm_x,green_utm_y,dist_to_nearest_label_m,matched_label_idx,matched_bool,kp_err_px
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,240,0,1,0.11432,261.19,26.19,276.5,36.35,15.31,10.16,155.49,272.34,35.53,269.02,31.6,270.68,26.35,-0.0873,1.7466,-8.5544,-2.2984,9.324,27.97,5.151,5.5,0.937,2.573,100.3,693937.03,5155969.42,693927.05,5155981.21,693932.04,5155996.94,369.05,,0,
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,150,30,1,0.20374,168.3,43.47,177.45,53.39,9.15,9.92,90.81,171.08,52.57,172.38,49.59,174.67,45.29,-0.5563,1.3954,-0.7771,0.0207,8.117,24.35,3.251,4.871,0.668,0.147,63.7,693633.23,5155918.3,693637.15,5155927.23,693644.01,5155940.13,465.55,,0,
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,150,30,0,0.05809,169.51,38.41,175.57,53.86,6.06,15.44,93.64,171.58,39.23,172.86,49.42,174.46,44.49,-0.7453,-0.2846,-0.3233,-0.4511,5.991,17.97,10.267,5.181,1.982,3.763,298.6,693634.75,5155958.3,693638.58,5155927.74,693643.37,5155942.52,464.82,,0,
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,240,30,1,0.08504,263.29,41.56,276.85,50.99,13.56,9.43,127.83,274.37,45.3,270.4,46.6,274.7,44.0,2.7567,2.0396,-6.4594,-0.5544,1.342,4.03,4.175,5.024,0.831,3.525,75.7,693943.11,5155940.1,693931.2,5155936.19,693944.1,5155944.0,323.94,,0,
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,240,30,0,0.07277,264.86,42.84,277.07,57.45,12.21,14.61,178.33,274.93,53.3,270.31,47.66,274.93,52.97,0.6012,-0.7909,-7.2336,-2.4744,0.332,1.0,7.293,7.039,1.036,4.619,90.0,693944.78,5155916.1,693930.92,5155933.03,693944.78,5155917.1,320.86,,0,
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,240,30,0,0.05024,266.81,33.47,275.71,74.38,8.9,40.92,364.21,271.92,33.63,270.6,48.6,273.9,47.27,-1.2112,-3.1481,-5.8018,-3.387,13.781,41.34,15.027,3.555,4.227,3.454,278.3,693935.75,5155975.1,693931.8,5155930.2,693941.69,5155934.19,317.92,,0,
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,240,60,1,0.06634,269.15,79.5,279.46,79.53,10.31,0.04,0.37,270.98,79.66,273.97,79.66,277.63,79.66,-3.5281,-6.0284,-8.0537,-5.87,6.653,19.96,2.994,3.659,0.818,0.0,0.0,693932.94,5155837.01,693941.92,5155837.01,693952.9,5155837.01,224.4,,0,
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,240,90,1,0.08081,272.15,105.7,285.21,115.05,13.06,9.35,122.14,281.78,114.25,278.19,110.06,282.11,114.25,-3.6655,-4.0591,-3.6535,-3.7927,0.327,0.98,5.52,5.738,0.962,4.192,0.0,693965.34,5155733.26,693954.57,5155745.83,693966.32,5155733.26,132.55,,0,
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,270,90,1,0.30405,278.45,102.16,284.13,118.17,5.68,16.01,90.87,280.82,104.93,281.13,109.51,281.76,115.39,-4.4207,-0.2426,-3.233,-2.6321,10.497,31.49,4.585,5.914,0.775,0.098,275.2,693962.45,5155761.2,693963.4,5155747.47,693965.29,5155729.83,132.5,,0,
kprcnn-warmup-v1,Yakima-Toppenish_03_20260614,Yakima (arid),trained,1,1,240,120,1,0.21497,275.69,157.83,287.33,168.0,11.64,10.17,118.45,279.84,159.96,280.84,163.57,287.16,157.99,1.932,4.7412,-5.5717,0.3672,7.579,22.74,3.745,8.431,0.444,3.745,15.1,693959.53,5155596.12,693962.53,5155585.29,693981.49,5155602.03,37.88,,0,
