scene_id,corridor,model,threshold,annotated_count,detected_count,TP,FP,FN,precision,recall,f1,count_ratio,signed_count_error_pct
Bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_A,0.3,11,42,7,35,4,0.166667,0.636364,0.264151,3.818182,281.8182
Bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_A,0.5,11,23,7,16,4,0.304348,0.636364,0.411765,2.090909,109.0909
Bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_A,0.65,11,17,6,11,5,0.352941,0.545455,0.428571,1.545455,54.5455
Bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_A,0.7,11,14,6,8,5,0.428571,0.545455,0.48,1.272727,27.2727
Bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_A,0.775,11,10,4,6,7,0.4,0.363636,0.380952,0.909091,-9.0909
Bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_A,0.85,11,6,3,3,8,0.5,0.272727,0.352941,0.545455,-45.4545
Bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_A,0.9,11,4,2,2,9,0.5,0.181818,0.266667,0.363636,-63.6364
Bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_A,0.95,11,0,0,0,11,0.0,0.0,0.0,0.0,-100.0
Centralia_01_20260511,Centralia/I-5-south,MODEL_A,0.3,56,70,36,34,20,0.514286,0.642857,0.571429,1.25,25.0
Centralia_01_20260511,Centralia/I-5-south,MODEL_A,0.5,56,58,34,24,22,0.586207,0.607143,0.596491,1.035714,3.5714
Centralia_01_20260511,Centralia/I-5-south,MODEL_A,0.65,56,45,30,15,26,0.666667,0.535714,0.594059,0.803571,-19.6429
Centralia_01_20260511,Centralia/I-5-south,MODEL_A,0.7,56,38,26,12,30,0.684211,0.464286,0.553191,0.678571,-32.1429
Centralia_01_20260511,Centralia/I-5-south,MODEL_A,0.775,56,28,19,9,37,0.678571,0.339286,0.452381,0.5,-50.0
Centralia_01_20260511,Centralia/I-5-south,MODEL_A,0.85,56,22,18,4,38,0.818182,0.321429,0.461538,0.392857,-60.7143
Centralia_01_20260511,Centralia/I-5-south,MODEL_A,0.9,56,10,9,1,47,0.9,0.160714,0.272727,0.178571,-82.1429
Centralia_01_20260511,Centralia/I-5-south,MODEL_A,0.95,56,4,4,0,52,1.0,0.071429,0.133333,0.071429,-92.8571
Centralia_02_20260511,Centralia/I-5-south,MODEL_A,0.3,56,71,31,40,25,0.43662,0.553571,0.488189,1.267857,26.7857
Centralia_02_20260511,Centralia/I-5-south,MODEL_A,0.5,56,55,29,26,27,0.527273,0.517857,0.522523,0.982143,-1.7857
Centralia_02_20260511,Centralia/I-5-south,MODEL_A,0.65,56,43,26,17,30,0.604651,0.464286,0.525253,0.767857,-23.2143
Centralia_02_20260511,Centralia/I-5-south,MODEL_A,0.7,56,38,23,15,33,0.605263,0.410714,0.489362,0.678571,-32.1429
Centralia_02_20260511,Centralia/I-5-south,MODEL_A,0.775,56,27,17,10,39,0.62963,0.303571,0.409639,0.482143,-51.7857
Centralia_02_20260511,Centralia/I-5-south,MODEL_A,0.85,56,17,12,5,44,0.705882,0.214286,0.328767,0.303571,-69.6429
Centralia_02_20260511,Centralia/I-5-south,MODEL_A,0.9,56,9,9,0,47,1.0,0.160714,0.276923,0.160714,-83.9286
Centralia_02_20260511,Centralia/I-5-south,MODEL_A,0.95,56,2,2,0,54,1.0,0.035714,0.068966,0.035714,-96.4286
Ellensburg-Yakima_01_20260409,Ellensburg (arid),MODEL_A,0.3,8,7,1,6,7,0.142857,0.125,0.133333,0.875,-12.5
Ellensburg-Yakima_01_20260409,Ellensburg (arid),MODEL_A,0.5,8,2,1,1,7,0.5,0.125,0.2,0.25,-75.0
Ellensburg-Yakima_01_20260409,Ellensburg (arid),MODEL_A,0.65,8,1,1,0,7,1.0,0.125,0.222222,0.125,-87.5
Ellensburg-Yakima_01_20260409,Ellensburg (arid),MODEL_A,0.7,8,1,1,0,7,1.0,0.125,0.222222,0.125,-87.5
