model,threshold,mean_F1,SD_F1,pooled_F1,pooled_P,pooled_R,count_ratio
MODEL_A,0.3,0.3794,0.1951,0.4165,0.3432,0.5298,1.5437
MODEL_A,0.325,0.3814,0.1959,0.4279,0.3631,0.5209,1.4347
MODEL_A,0.35,0.3816,0.1905,0.436,0.381,0.5095,1.3371
MODEL_A,0.375,0.3902,0.1914,0.4482,0.4032,0.5044,1.251
MODEL_A,0.4,0.397,0.1915,0.4599,0.4272,0.4981,1.166
MODEL_A,0.425,0.3979,0.1952,0.4681,0.4498,0.488,1.0849
MODEL_A,0.45,0.3994,0.1927,0.4706,0.4648,0.4766,1.0253
MODEL_A,0.475,0.4004,0.1952,0.4774,0.4875,0.4677,0.9594
MODEL_A,0.5,0.4017,0.192,0.4796,0.5071,0.455,0.8973
MODEL_A,0.525,0.4025,0.1966,0.4828,0.5278,0.4449,0.8428
MODEL_A,0.55,0.403,0.1943,0.4848,0.5479,0.4347,0.7934
MODEL_A,0.575,0.4013,0.1945,0.483,0.5644,0.4221,0.7478
MODEL_A,0.6,0.3965,0.1953,0.4794,0.5861,0.4056,0.692
MODEL_A,0.625,0.3836,0.1995,0.476,0.6099,0.3904,0.6401
MODEL_A,0.65,0.3764,0.1951,0.462,0.6147,0.3701,0.602
MODEL_A,0.675,0.3574,0.1936,0.4481,0.623,0.3498,0.5615
MODEL_A,0.7,0.3506,0.1911,0.4409,0.6416,0.3359,0.5234
MODEL_A,0.725,0.3311,0.1828,0.4202,0.6499,0.3105,0.4778
MODEL_A,0.75,0.2984,0.1802,0.3901,0.649,0.2788,0.4297
MODEL_A,0.775,0.2867,0.1739,0.379,0.6913,0.2611,0.3777
MODEL_A,0.8,0.2763,0.1694,0.3633,0.7164,0.2433,0.3397
MODEL_A,0.825,0.2579,0.1584,0.3415,0.7565,0.2205,0.2915
MODEL_A,0.85,0.2329,0.1579,0.3144,0.7868,0.1965,0.2497
MODEL_A,0.875,0.2063,0.1431,0.2755,0.8086,0.166,0.2053
MODEL_A,0.9,0.1719,0.1249,0.2366,0.871,0.1369,0.1572
MODEL_A,0.925,0.1138,0.1082,0.176,0.8953,0.0976,0.109
MODEL_A,0.95,0.0452,0.0729,0.0939,0.9286,0.0494,0.0532
MODEL_A,0.975,0.0141,0.0314,0.0324,1.0,0.0165,0.0165
MODEL_B,0.3,0.2948,0.124,0.3104,0.2096,0.5982,2.8542
MODEL_B,0.325,0.3,0.1238,0.3142,0.2147,0.5856,2.7275
MODEL_B,0.35,0.3062,0.1246,0.3203,0.2213,0.5792,2.6172
MODEL_B,0.375,0.3115,0.1242,0.3264,0.2278,0.5754,2.526
MODEL_B,0.4,0.3133,0.1222,0.3305,0.2341,0.5615,2.398
MODEL_B,0.425,0.314,0.1229,0.3338,0.2392,0.5526,2.3105
MODEL_B,0.45,0.3209,0.1227,0.341,0.2476,0.5475,2.2117
MODEL_B,0.475,0.3275,0.1214,0.3476,0.2555,0.5437,2.128
MODEL_B,0.5,0.3347,0.1217,0.3554,0.2651,0.5387,2.0317
MODEL_B,0.525,0.337,0.1215,0.3596,0.2725,0.5285,1.9392
MODEL_B,0.55,0.343,0.1254,0.3673,0.2829,0.5234,1.8504
MODEL_B,0.575,0.3449,0.117,0.3721,0.2915,0.5146,1.7655
MODEL_B,0.6,0.3501,0.1176,0.3774,0.3015,0.5044,1.673
MODEL_B,0.625,0.3549,0.1201,0.3789,0.3086,0.4905,1.5894
MODEL_B,0.65,0.3609,0.1162,0.3878,0.324,0.4829,1.4905
MODEL_B,0.675,0.3579,0.1143,0.3851,0.3291,0.4639,1.4094
MODEL_B,0.7,0.3517,0.1192,0.3764,0.3305,0.4373,1.3232
MODEL_B,0.725,0.3504,0.1177,0.3744,0.3381,0.4195,1.2408
MODEL_B,0.75,0.3483,0.1102,0.376,0.3543,0.4005,1.1305
MODEL_B,0.775,0.3461,0.1087,0.3751,0.3689,0.3815,1.0342
MODEL_B,0.8,0.3352,0.1159,0.3705,0.3817,0.3599,0.943
MODEL_B,0.825,0.3291,0.1135,0.3621,0.3946,0.3346,0.8479
MODEL_B,0.85,0.3185,0.1127,0.35,0.4074,0.3067,0.7529
MODEL_B,0.875,0.3162,0.1081,0.3398,0.4348,0.2788,0.6413
MODEL_B,0.9,0.2895,0.0943,0.3132,0.4522,0.2395,0.5298
MODEL_B,0.925,0.2791,0.0958,0.2895,0.4837,0.2066,0.4271
MODEL_B,0.95,0.2655,0.1156,0.2617,0.531,0.1736,0.327
MODEL_B,0.975,0.2218,0.1196,0.2072,0.6242,0.1242,0.199
