model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,0.3,80,26,21,0.263,73.8,16,0.7619,0.2,0.3168,16,0.7619,0.2,0.3168,0,0,0.125,1.011,1.058,0.3958,0.4472,0.4941,0.6808,0.9048,0.5924,10.049,32.99,0.282,2943,4.44,4.73,131.9
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,0.5,80,11,10,0.125,87.5,10,1.0,0.125,0.2222,10,1.0,0.125,0.2222,0,0,0.0625,1.011,1.057,0.6065,0.6297,0.7033,0.9042,0.9467,0.7579,10.9598,33.48,0.125,2943,4.44,2.25,131.9
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,0.7,80,5,5,0.062,93.8,5,1.0,0.0625,0.1176,5,1.0,0.0625,0.1176,0,0,0.0125,1.011,1.0,0.7964,0.9025,0.9048,0.9454,0.9531,0.8873,10.7001,34.82,0.528,2943,4.44,1.13,131.9
kprcnn-adamiak-v2,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.3,89,41,36,0.404,59.6,25,0.6944,0.2809,0.4,25,0.6944,0.2809,0.4,0,0,0.5169,0.766,1.051,0.3425,0.4083,0.5299,0.7075,0.8573,0.564,10.1536,34.74,0.517,3010,4.548,7.92,137.2
kprcnn-adamiak-v2,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.5,89,20,19,0.213,78.7,14,0.7368,0.1573,0.2593,14,0.7368,0.1573,0.2593,0,0,0.3371,0.766,0.981,0.5564,0.5678,0.6969,0.845,0.919,0.7171,10.8292,34.96,0.509,3010,4.548,4.18,137.2
kprcnn-adamiak-v2,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.7,89,9,9,0.101,89.9,9,1.0,0.1011,0.1837,9,1.0,0.1011,0.1837,0,0,0.236,0.766,1.04,0.7473,0.7621,0.8495,0.9142,0.9445,0.8476,11.6772,35.77,0.204,3010,4.548,1.98,137.2
kprcnn-adamiak-v2,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.3,56,35,32,0.571,42.9,19,0.5938,0.3393,0.4318,19,0.5938,0.3393,0.4318,0,0,0.3393,0.719,0.841,0.3616,0.385,0.5174,0.683,0.8377,0.5532,10.003,32.34,0.482,1462,2.2,14.55,69.3
kprcnn-adamiak-v2,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.5,56,18,18,0.321,67.9,12,0.6667,0.2143,0.3243,12,0.6667,0.2143,0.3243,0,0,0.1607,0.719,0.828,0.5175,0.553,0.6763,0.795,0.8612,0.6805,10.6276,32.29,0.591,1462,2.2,8.18,69.3
kprcnn-adamiak-v2,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.7,56,8,8,0.143,85.7,6,0.75,0.1071,0.1875,6,0.75,0.1071,0.1875,0,0,0.0357,0.719,0.655,0.7252,0.7439,0.8259,0.8605,0.8902,0.8122,11.8608,33.03,0.59,1462,2.2,3.64,69.3
kprcnn-adamiak-v2,auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,unseen,0,1,0.3,42,18,16,0.381,61.9,15,0.9375,0.3571,0.5172,15,0.9375,0.3571,0.5172,0,0,0.0952,0.849,1.113,0.4676,0.5054,0.7147,0.8795,0.9507,0.7043,10.6822,30.32,0.488,3754,6.257,2.56,161.9
