[06:07:38] model=kprcnn-adamiak-v2 scenes=10 thresholds=[0.3, 0.5, 0.7] threads=3 top1_only=False match=6.0px(18m)
[06:09:15] [1/10] Tacoma-Centralia_01_20260429 [held-out:unspecified] 34 dets / 1788 win / 97s — thr0.3: n=7 F1=0.1609 | thr0.5: n=2 F1=0.0488 | thr0.7: n=1 F1=0.0247
[06:10:56] [2/10] Tacoma-Centralia_02_20260602 [trained] 51 dets / 1829 win / 101s — thr0.3: n=9 F1=0.1837 | thr0.5: n=4 F1=0.086 | thr0.7: n=1 F1=0.0222
[06:11:47] [3/10] Centralia_01_20260511 [trained] 29 dets / 891 win / 51s — thr0.3: n=5 F1=0.1311 | thr0.5: n=1 F1=0.0351 | thr0.7: n=0 F1=0.0
[06:13:50] [4/10] auburn-snoqualmie_03_20260614 [unseen] 23 dets / 2230 win / 123s — thr0.3: n=5 F1=0.1702 | thr0.5: n=3 F1=0.1333 | thr0.7: n=1 F1=0.0465
[06:20:21] [5/10] Tri-Cities-New_01_20260611 [unseen] 30 dets / 7986 win / 390s — thr0.3: n=5 F1=0.0727 | thr0.5: n=3 F1=0.037 | thr0.7: n=2 F1=0.0374
[06:25:48] [6/10] spokane-i90_01_20260622 [unseen] 3 dets / 7495 win / 327s — thr0.3: n=2 F1=0.0702 | thr0.5: n=2 F1=0.0702 | thr0.7: n=0 F1=0.0
[06:28:53] [7/10] blaine-bellingham_02_20260528 [unseen] 0 dets / 3906 win / 185s — thr0.3: n=0 F1=0.0 | thr0.5: n=0 F1=0.0 | thr0.7: n=0 F1=0.0
[06:32:54] [8/10] Yakima-Toppenish_04_20260620 [unseen] 5 dets / 4482 win / 240s — thr0.3: n=0 F1=0.0 | thr0.5: n=0 F1=0.0 | thr0.7: n=0 F1=0.0
[06:36:59] [9/10] Yakima-Toppenish_02_20260509 [unseen] 0 dets / 4473 win / 246s — thr0.3: n=0 F1=0.0 | thr0.5: n=0 F1=0.0 | thr0.7: n=0 F1=0.0
[06:40:18] [10/10] blaine-bellingham_03_20260504 [unseen] 4 dets / 4089 win / 198s — thr0.3: n=0 F1=0.0 | thr0.5: n=0 F1=0.0 | thr0.7: n=0 F1=0.0
[06:40:18] DONE -> analysis/truck-detection-report/data/window-sweep/adamiak-v2_w32/detections.csv  analysis/truck-detection-report/data/window-sweep/adamiak-v2_w32/stats.csv  analysis/truck-detection-report/data/window-sweep/adamiak-v2_w32/scenes.csv
