model_id,scene,corridor,split,trained_on,labelled,window_x,window_y,is_window_top1,score,box_x0,box_y0,box_x1,box_y1,box_w_px,box_h_px,box_area_px,kp_blue_x,kp_blue_y,kp_red_x,kp_red_y,kp_green_x,kp_green_y,kp_score_blue,kp_score_red,kp_score_green,kp_score_mean,streak_len_px,streak_len_m,seg_blue_red_px,seg_red_green_px,spacing_ratio,collinearity_px,bearing_deg,blue_utm_x,blue_utm_y,red_utm_x,red_utm_y,green_utm_x,green_utm_y,dist_to_nearest_label_m,matched_label_idx,matched_bool,kp_err_px
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,0,0,1,0.09583,16.47,16.03,33.39,23.77,16.92,7.75,131.01,30.57,20.38,26.59,19.41,19.29,20.71,2.6413,8.3515,9.0734,6.6887,11.281,33.84,4.096,7.41,0.553,1.082,181.6,499306.7,5211382.85,499294.76,5211385.76,499272.87,5211381.88,4923.95,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,80,0,1,0.24121,92.86,38.79,109.92,46.27,17.06,7.48,127.6,105.49,44.81,101.88,42.53,96.3,40.25,0.6773,7.0626,8.0123,5.2507,10.251,30.75,4.266,6.023,0.708,0.437,153.6,499531.47,5211309.58,499520.64,5211316.41,499503.91,5211323.24,4690.08,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,200,120,1,0.09079,206.89,153.79,222.22,161.03,15.33,7.24,110.92,212.06,159.88,214.72,156.92,209.73,154.95,-4.2943,2.1683,6.6215,1.4985,5.458,16.37,3.984,5.373,0.741,3.675,115.3,499851.18,5210964.36,499859.17,5210973.24,499844.18,5210979.16,4240.03,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,200,120,0,0.09022,207.59,159.18,225.14,167.49,17.55,8.31,145.86,212.06,164.99,212.72,163.33,219.67,167.32,0.0029,0.5147,4.8248,1.7808,7.964,23.89,1.789,8.017,0.223,1.783,343.0,499851.17,5210949.02,499853.16,5210954.01,499874.02,5210942.04,4238.01,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,200,120,0,0.06972,207.48,154.16,215.49,171.76,8.01,17.6,140.94,213.09,165.29,211.49,163.29,208.92,154.33,-2.5122,2.5074,5.7744,1.9232,11.723,35.17,2.556,9.325,0.274,0.789,110.8,499854.26,5210948.14,499849.46,5210954.12,499841.77,5210981.01,4241.46,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,200,160,1,0.14133,222.37,178.84,238.84,185.95,16.46,7.11,117.06,226.82,181.59,229.78,182.88,235.05,185.79,1.7974,7.9556,6.61,5.4544,9.242,27.73,3.233,6.018,0.537,0.196,333.0,499895.46,5210899.23,499904.35,5210895.36,499920.15,5210886.63,4168.12,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,200,160,0,0.08296,222.99,175.44,230.47,188.55,7.48,13.11,98.1,226.73,181.51,229.01,183.14,229.01,177.57,1.1973,4.1899,4.0853,3.1575,4.545,13.64,2.806,5.572,0.503,2.792,59.9,499895.2,5210899.48,499902.03,5210894.57,499902.03,5210911.28,4169.95,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,200,160,0,0.0761,223.15,176.64,237.89,190.23,14.74,13.59,200.34,226.59,181.77,229.86,182.77,234.45,187.08,1.2002,7.7222,10.1396,6.354,9.484,28.45,3.423,6.293,0.544,1.008,326.0,499894.76,5210898.68,499904.59,5210895.7,499918.35,5210882.77,4168.02,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,240,200,1,0.16093,268.33,225.53,275.7,237.6,7.37,12.07,88.95,270.1,229.28,272.66,231.57,269.77,235.48,1.0143,5.5703,5.2386,3.9411,6.205,18.62,3.433,4.862,0.706,2.678,267.0,500025.29,5210756.15,500032.98,5210749.3,500024.32,5210737.56,3994.27,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,280,240,1,0.19902,295.39,257.99,307.92,269.11,12.54,11.11,139.36,298.19,262.41,300.83,263.71,304.79,266.98,1.7527,6.7368,10.0778,6.1891,8.031,24.09,2.946,5.135,0.574,0.43,325.3,500109.57,5210656.78,500117.49,5210652.86,500129.37,5210643.05,3880.96,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,320,280,1,0.0581,356.39,305.22,371.38,317.17,14.99,11.95,179.07,366.88,315.01,365.22,312.03,359.56,307.05,0.5436,6.4667,9.9065,5.6389,10.823,32.47,3.42,7.539,0.454,0.797,132.6,500315.65,5210498.96,500310.66,5210507.92,500293.67,5210522.85,3650.0,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,360,320,1,0.12825,396.38,341.62,397.49,345.83,1.11,4.2,4.67,397.35,344.37,397.07,343.72,397.07,341.78,-0.1465,1.8123,2.9489,1.5382,2.602,7.81,0.704,1.941,0.363,0.207,96.1,500407.04,5210410.89,500406.21,5210412.83,500406.21,5210418.65,3528.82,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,360,320,0,0.08758,390.87,337.13,401.87,353.61,11.0,16.48,181.34,400.1,343.89,397.51,344.22,393.95,340.26,-3.9627,-0.9302,7.3061,0.8044,7.138,21.41,2.609,5.322,0.49,1.599,149.5,500415.29,5210412.34,500407.52,5210411.35,500396.84,5210423.22,3527.11,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,360,320,0,0.05101,392.71,341.33,392.74,348.29,0.02,6.95,0.15,392.88,344.81,392.88,344.48,392.88,341.5,-4.4859,-0.0252,5.1512,0.2134,3.311,9.93,0.331,2.98,0.111,0.0,90.0,500393.64,5210409.57,500393.64,5210410.56,500393.64,5210419.5,3540.04,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,440,360,1,0.06916,443.41,377.64,456.23,391.34,12.82,13.71,175.65,455.74,385.63,450.15,384.65,445.88,380.09,0.8871,6.8752,9.47,5.7441,11.312,33.94,5.671,6.255,0.907,1.887,150.6,500582.21,5210287.1,500565.45,5210290.04,500552.63,5210303.74,3339.62,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,480,400,1,0.1103,501.72,439.01,518.78,446.51,17.06,7.5,127.95,506.15,440.47,509.43,442.1,514.35,445.04,-0.551,3.734,8.4241,3.869,9.386,28.16,3.663,5.729,0.639,0.171,330.9,500733.45,5210122.58,500743.29,5210117.69,500758.05,5210108.88,3120.64,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,480,400,0,0.07442,498.28,425.86,515.08,435.93,16.8,10.07,169.2,514.91,426.02,506.68,430.89,501.41,428.62,-4.6348,-2.0626,6.8653,0.056,13.754,41.26,9.569,5.74,1.667,3.229,190.9,500759.74,5210165.95,500735.03,5210151.33,500719.22,5210158.15,3137.58,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,520,440,1,0.16651,526.18,445.71,540.91,462.38,14.73,16.67,245.52,538.46,457.31,534.53,453.72,529.29,448.82,0.7994,6.674,11.4706,6.3147,12.498,37.5,5.325,7.174,0.742,0.034,137.2,500830.37,5210072.06,500818.59,5210082.84,500802.87,5210097.55,3038.87,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,520,440,0,0.09581,526.59,450.43,543.03,458.68,16.43,8.25,135.57,538.92,457.19,533.99,453.89,529.06,450.59,0.4258,6.6389,8.2137,5.0928,11.864,35.59,5.932,5.932,1.0,0.0,146.2,500831.75,5210072.43,500816.96,5210082.33,500802.18,5210092.23,3040.3,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,560,480,1,0.10462,581.2,498.79,589.56,511.0,8.36,12.21,102.16,583.93,501.26,586.18,504.23,587.47,500.6,6.1484,9.1122,5.1076,6.7894,3.6,10.8,3.728,3.853,0.968,3.334,10.6,500966.8,5209940.21,500973.55,5209931.3,500977.41,5209942.19,2852.04,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,600,480,1,0.22994,608.38,508.03,624.61,515.31,16.23,7.28,118.18,620.8,513.16,616.83,511.18,611.2,510.52,-2.3873,5.076,8.7999,3.8295,9.964,29.89,4.443,5.67,0.784,0.858,164.6,501077.41,5209904.51,501065.48,5209910.47,501048.59,5209912.45,2757.78,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,680,520,1,0.09432,690.47,531.05,705.16,539.73,14.69,8.68,127.62,692.92,535.71,696.18,535.39,702.71,533.46,3.4436,7.8852,4.2304,5.1864,10.052,30.16,3.281,6.81,0.482,0.418,12.9,501293.75,5209836.87,501303.55,5209837.83,501323.14,5209843.62,2509.6,,0,
kprcnn-adamiak-v2,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:unspecified,0,1,1080,520,1,0.10997,1084.56,531.5,1102.86,540.34,18.3,8.84,161.84,1087.72,533.95,1091.38,535.26,1097.37,536.9,4.9702,10.7175,10.8855,8.8577,10.09,30.27,3.888,6.209,0.626,0.184,343.0,502478.16,5209842.14,502489.14,5209838.21,502507.1,5209833.29,1375.6,,0,
