model_id,scene,corridor,split,trained_on,labelled,window_x,window_y,is_window_top1,score,box_x0,box_y0,box_x1,box_y1,box_w_px,box_h_px,box_area_px,kp_blue_x,kp_blue_y,kp_red_x,kp_red_y,kp_green_x,kp_green_y,kp_score_blue,kp_score_red,kp_score_green,kp_score_mean,streak_len_px,streak_len_m,seg_blue_red_px,seg_red_green_px,spacing_ratio,collinearity_px,bearing_deg,blue_utm_x,blue_utm_y,red_utm_x,red_utm_y,green_utm_x,green_utm_y,dist_to_nearest_label_m,matched_label_idx,matched_bool,kp_err_px
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,0,0,1,0.69701,17.82,16.78,33.35,24.73,15.53,7.95,123.51,30.54,20.59,26.25,20.59,18.98,20.92,0.9869,2.9986,0.1324,1.3726,11.572,34.72,4.296,7.279,0.59,0.123,181.6,499306.63,5211382.23,499293.74,5211382.23,499271.93,5211381.24,4923.38,,0,
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,30,0,1,0.07147,60.97,31.58,77.95,41.69,16.98,10.11,171.77,74.46,38.59,70.13,36.96,74.79,34.67,-0.308,1.5116,0.2136,0.4724,3.929,11.79,4.626,5.192,0.891,4.452,85.1,499438.37,5211328.23,499425.39,5211333.12,499439.37,5211339.98,4783.34,,0,
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,60,0,1,0.94902,95.08,37.62,107.96,47.53,12.88,9.91,127.58,105.48,45.05,101.85,42.74,95.58,41.75,5.2857,3.3711,-1.9935,2.2211,10.442,31.32,4.305,6.351,0.678,1.044,161.6,499531.45,5211308.84,499520.56,5211315.77,499501.74,5211318.74,4689.88,,0,
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,60,0,0,0.0919,91.07,25.72,105.66,35.48,14.6,9.76,142.42,96.87,28.49,98.53,29.79,103.18,27.84,-5.3544,-0.7565,-6.6591,-4.2566,6.336,19.01,2.108,5.037,0.418,1.464,5.9,499505.62,5211358.53,499510.59,5211354.63,499524.53,5211360.48,4715.69,,0,
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,60,0,0,0.073,96.04,42.05,106.21,48.0,10.17,5.95,60.57,104.4,45.85,101.12,43.2,97.84,45.52,1.0859,-0.1128,-3.6788,-0.9019,6.571,19.71,4.216,4.016,1.05,2.478,177.1,499528.21,5211306.45,499518.36,5211314.39,499508.52,5211307.44,4691.27,,0,
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,90,0,1,0.51133,93.2,37.49,108.35,47.67,15.15,10.18,154.22,105.55,45.2,101.6,42.91,95.67,41.26,4.2708,3.7807,1.2855,3.1124,10.638,31.91,4.572,6.152,0.743,0.671,158.3,499531.65,5211308.39,499519.8,5211315.28,499502.01,5211320.21,4690.36,,0,
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,30,30,1,0.06097,57.5,30.0,78.0,43.23,20.5,13.23,271.19,73.87,39.1,68.25,36.45,63.62,31.16,-0.1602,2.112,-0.3638,0.5293,12.963,38.89,6.212,7.031,0.883,1.35,142.2,499436.6,5211326.71,499419.74,5211334.65,499405.86,5211350.53,4789.09,,0,
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,60,30,1,0.28435,94.55,37.57,106.79,47.46,12.24,9.9,121.16,104.64,44.66,101.33,42.68,95.38,41.69,1.5595,2.7398,-0.706,1.1978,9.728,29.18,3.855,6.037,0.639,0.875,162.2,499528.92,5211310.02,499519.0,5211315.96,499501.13,5211318.93,4691.37,,0,
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,90,30,1,0.33287,94.09,37.68,107.35,47.82,13.26,10.14,134.51,104.86,45.37,101.22,43.08,96.24,41.44,2.3337,3.0776,0.4758,1.9624,9.472,28.42,4.306,5.235,0.823,0.573,155.5,499529.59,5211307.89,499518.65,5211314.76,499503.73,5211319.67,4691.17,,0,
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,90,30,0,0.13658,109.52,58.78,125.07,68.44,15.56,9.66,150.26,114.32,61.61,116.97,63.94,121.6,67.61,1.8098,4.2334,-1.7468,1.4321,9.432,28.3,3.528,5.907,0.597,0.117,320.5,499557.96,5211259.16,499565.9,5211252.17,499579.8,5211241.18,4621.75,,0,
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,90,60,1,0.21835,111.65,60.0,124.07,70.86,12.42,10.86,134.86,114.75,62.14,117.37,64.77,121.62,68.06,1.2883,2.1577,-0.0201,1.1419,9.065,27.2,3.71,5.374,0.69,0.285,319.2,499559.26,5211257.58,499567.1,5211249.68,499579.85,5211239.81,4619.61,,0,
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,180,120,1,0.26049,207.03,156.98,217.35,168.0,10.32,11.02,113.63,209.86,160.39,211.52,162.65,214.52,167.84,-1.7652,2.2,-7.5038,-2.3563,8.788,26.36,2.813,5.987,0.47,0.209,302.0,499844.58,5210962.84,499849.57,5210956.04,499858.55,5210940.49,4242.1,,0,
