model_id,scene,corridor,split,trained_on,labelled,threshold,true_count,raw_detections,kept_after_dedup,count_ratio,count_error_pct,tp,precision,recall,f1,tp_greedy,precision_greedy,recall_greedy,f1_greedy,labels_multi_matched,dets_multi_matching,centered_recall,centered_kp_err_px,matched_kp_err_px,score_p10,score_p25,score_median,score_p75,score_p90,score_mean,kp_score_mean,mean_streak_len_m,median_collinearity_px,windows,valid_km2,det_per_km2,eval_seconds
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,0.3,80,239,120,1.5,50.0,36,0.3,0.45,0.36,36,0.3,0.45,0.36,0,0,1.0,1.194,1.176,0.4478,0.6091,0.7946,0.9052,0.9826,0.748,2.5326,31.06,0.226,574,4.44,27.03,129.5
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,0.5,80,182,101,1.262,26.2,35,0.3465,0.4375,0.3867,35,0.3465,0.4375,0.3867,0,0,0.9875,1.194,1.169,0.6023,0.7186,0.8255,0.9308,0.9858,0.8129,2.7514,31.33,0.211,574,4.44,22.75,129.5
kprcnn-warmup-v1,Tacoma-Centralia_01_20260429,Centralia/I-5-south,held-out:temporal,0,1,0.7,80,118,79,0.988,1.2,33,0.4177,0.4125,0.4151,33,0.4177,0.4125,0.4151,0,0,0.8375,1.194,1.166,0.7378,0.799,0.8797,0.9502,0.9901,0.8712,3.082,32.04,0.203,574,4.44,17.79,129.5
kprcnn-warmup-v1,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.3,89,244,127,1.427,42.7,49,0.3858,0.5618,0.4575,49,0.3858,0.5506,0.4537,0,1,0.9663,0.974,1.265,0.4708,0.6017,0.8183,0.9328,0.9784,0.752,3.1866,33.03,0.442,588,4.548,27.92,131.4
kprcnn-warmup-v1,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.5,89,185,106,1.191,19.1,48,0.4528,0.5506,0.4969,48,0.4528,0.5393,0.4923,0,1,0.9101,0.974,1.274,0.6017,0.6872,0.8522,0.946,0.9883,0.8163,3.5619,33.89,0.439,588,4.548,23.31,131.4
kprcnn-warmup-v1,Tacoma-Centralia_02_20260602,Centralia/I-5-south,trained,1,1,0.7,89,120,76,0.854,14.6,39,0.5132,0.4494,0.4792,39,0.5132,0.4382,0.4727,0,1,0.7303,0.974,1.285,0.8002,0.8391,0.8931,0.9657,0.9916,0.8951,3.7812,33.75,0.374,588,4.548,16.71,131.4
kprcnn-warmup-v1,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.3,56,156,74,1.321,32.1,27,0.3649,0.5,0.4219,27,0.3649,0.4821,0.4154,0,1,0.9643,0.925,1.232,0.5414,0.6334,0.7879,0.9307,0.9876,0.7686,3.419,33.92,0.307,290,2.2,33.64,73.3
kprcnn-warmup-v1,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.5,56,108,69,1.232,23.2,24,0.3478,0.4286,0.384,24,0.3478,0.4286,0.384,0,0,0.9107,0.925,1.245,0.5939,0.6593,0.7959,0.9372,0.9884,0.7959,3.5015,33.95,0.306,290,2.2,31.37,73.3
kprcnn-warmup-v1,Centralia_01_20260511,Centralia/I-5-south,trained,1,1,0.7,56,71,48,0.857,14.3,19,0.3958,0.3393,0.3654,19,0.3958,0.3393,0.3654,0,0,0.7143,0.925,1.319,0.7464,0.7952,0.9026,0.9693,0.9925,0.8785,3.7077,33.55,0.308,290,2.2,21.82,73.3
kprcnn-warmup-v1,auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,trained,1,1,0.3,42,189,103,2.452,145.2,24,0.233,0.5714,0.331,24,0.233,0.5714,0.331,0,0,1.0,0.852,0.947,0.4115,0.4998,0.6857,0.8803,0.9681,0.6968,1.9814,28.77,0.256,677,6.257,16.46,132.0
