model,window,quartile,n,mean_area,mean_kp,survives_gate
adamiak-v2,24,Q1,101,49.2,8.2,61.4
adamiak-v2,24,Q2,101,114.5,9.29,89.1
adamiak-v2,24,Q3,101,153.4,10.16,93.1
adamiak-v2,24,Q4,101,209.4,10.42,98.0
adamiak-v2,32,Q1,34,64.7,8.42,91.2
adamiak-v2,32,Q2,34,133.6,9.82,100.0
adamiak-v2,32,Q3,34,186.4,10.32,100.0
adamiak-v2,32,Q4,34,259.7,11.29,100.0
adamiak-v2,48,Q1,342,60.2,6.75,27.2
adamiak-v2,48,Q2,341,130.5,8.44,53.7
adamiak-v2,48,Q3,341,167.4,9.15,61.9
adamiak-v2,48,Q4,342,260.3,9.09,60.5
adamiak-v2,64,Q1,338,93.4,6.89,37.9
adamiak-v2,64,Q2,337,134.3,8.59,59.9
adamiak-v2,64,Q3,337,172.7,8.91,64.7
adamiak-v2,64,Q4,337,268.8,9.1,68.5
nojitter-v1,64,Q1,180,38.5,-2.18,1.7
nojitter-v1,64,Q2,180,74.4,-0.79,6.7
nojitter-v1,64,Q3,180,112.9,1.07,33.9
nojitter-v1,64,Q4,180,194.8,2.3,60.0
warmup-v1,24,Q1,398,78.2,0.05,14.1
warmup-v1,24,Q2,398,110.4,1.55,38.7
warmup-v1,24,Q3,398,140.9,2.62,58.0
warmup-v1,24,Q4,398,206.3,3.95,79.6
warmup-v1,32,Q1,324,90.1,0.82,9.6
warmup-v1,32,Q2,324,125.0,2.42,26.5
warmup-v1,32,Q3,325,158.8,3.51,45.5
warmup-v1,32,Q4,323,222.3,4.44,63.8
warmup-v1,48,Q1,424,91.5,1.11,14.6
warmup-v1,48,Q2,424,125.0,2.57,29.0
warmup-v1,48,Q3,423,155.8,3.43,48.0
warmup-v1,48,Q4,424,222.2,4.35,59.9
warmup-v1,64,Q1,419,93.4,1.28,20.5
warmup-v1,64,Q2,419,126.0,2.91,44.4
warmup-v1,64,Q3,419,154.7,3.38,53.5
warmup-v1,64,Q4,419,214.3,4.32,68.0
