model,window,scene,gt_area,quartile,found
adamiak-v2,24,Centralia_01_20260511,229.35220712121335,Q4,0
adamiak-v2,24,Centralia_01_20260511,165.45558604016702,Q3,1
adamiak-v2,24,Centralia_01_20260511,166.8941765759756,Q3,1
adamiak-v2,24,Centralia_01_20260511,158.09430057340265,Q3,1
adamiak-v2,24,Centralia_01_20260511,155.87977677568745,Q2,1
adamiak-v2,24,Centralia_01_20260511,132.01970917430378,Q1,1
adamiak-v2,24,Centralia_01_20260511,136.8363715848087,Q1,1
adamiak-v2,24,Centralia_01_20260511,119.58464050127174,Q1,1
adamiak-v2,24,Centralia_01_20260511,136.2840472523064,Q1,1
adamiak-v2,24,Centralia_01_20260511,166.3491956665852,Q3,1
adamiak-v2,24,Centralia_01_20260511,155.33218151936592,Q2,0
adamiak-v2,24,Centralia_01_20260511,159.78628259469136,Q3,1
adamiak-v2,24,Centralia_01_20260511,138.8002825921205,Q1,0
adamiak-v2,24,Centralia_01_20260511,144.88337494752466,Q1,1
adamiak-v2,24,Centralia_01_20260511,153.549252715058,Q2,1
adamiak-v2,24,Centralia_01_20260511,151.41067038142796,Q2,1
adamiak-v2,24,Centralia_01_20260511,176.55841396696732,Q3,1
adamiak-v2,24,Centralia_01_20260511,154.14312102512835,Q2,1
adamiak-v2,24,Centralia_01_20260511,201.28742296000277,Q4,1
adamiak-v2,24,Centralia_01_20260511,156.2650470681342,Q3,1
adamiak-v2,24,Centralia_01_20260511,148.82607300920864,Q2,0
adamiak-v2,24,Centralia_01_20260511,138.62354102073104,Q1,1
adamiak-v2,24,Centralia_01_20260511,165.06740431255807,Q3,0
adamiak-v2,24,Centralia_01_20260511,172.11258616491423,Q3,1
adamiak-v2,24,Centralia_01_20260511,199.85065190395724,Q4,1
adamiak-v2,24,Centralia_01_20260511,169.10385687139336,Q3,1
adamiak-v2,24,Centralia_01_20260511,167.36860793584,Q3,0
adamiak-v2,24,Centralia_01_20260511,178.55248186965943,Q4,1
adamiak-v2,24,Centralia_01_20260511,207.79729593079597,Q4,1
adamiak-v2,24,Centralia_01_20260511,179.41367199964176,Q4,1
adamiak-v2,24,Centralia_01_20260511,185.68204753195616,Q4,1
adamiak-v2,24,Centralia_01_20260511,177.13598870771062,Q4,1
adamiak-v2,24,Centralia_01_20260511,157.7883005869082,Q3,1
adamiak-v2,24,Centralia_01_20260511,155.39953125902034,Q2,1
adamiak-v2,24,Centralia_01_20260511,179.42640411887893,Q4,1
adamiak-v2,24,Centralia_01_20260511,156.72728417051525,Q3,1
adamiak-v2,24,Centralia_01_20260511,144.31332463357725,Q1,0
adamiak-v2,24,Centralia_01_20260511,146.91427024973333,Q2,0
adamiak-v2,24,Centralia_01_20260511,151.14666569659767,Q2,0
adamiak-v2,24,Centralia_01_20260511,153.75529817820302,Q2,1
adamiak-v2,24,Centralia_01_20260511,141.01624396331036,Q1,1
adamiak-v2,24,Centralia_01_20260511,147.77712931059787,Q2,1
adamiak-v2,24,Centralia_01_20260511,146.43777317801386,Q2,1
adamiak-v2,24,Centralia_01_20260511,137.55446637626233,Q1,1
adamiak-v2,24,Centralia_01_20260511,179.96251604369604,Q4,1
