model,window,scene,vehicles,density,band,TP,FP,FN,det,P,R,F1,ratio
adamiak-v2,24,Centralia_01_20260511,56,25.45,dense,43,31,13,74,0.581081081081081,0.7678571428571429,0.6615384615384615,1.3214285714285714
adamiak-v2,24,Tacoma-Centralia_01_20260429,80,18.02,dense,46,17,34,63,0.7301587301587301,0.575,0.6433566433566433,0.7875
adamiak-v2,24,Tacoma-Centralia_02_20260602,89,19.57,dense,62,23,27,85,0.7294117647058823,0.6966292134831461,0.7126436781609196,0.9550561797752809
adamiak-v2,24,Tri-Cities-New_01_20260611,105,5.35,mid,42,6,63,48,0.875,0.4,0.5490196078431373,0.45714285714285713
adamiak-v2,24,Yakima-Toppenish_02_20260509,31,2.45,sparse,5,4,26,9,0.5555555555555556,0.16129032258064516,0.25,0.2903225806451613
adamiak-v2,24,Yakima-Toppenish_04_20260620,43,3.39,mid,13,11,30,24,0.5416666666666666,0.3023255813953488,0.3880597014925373,0.5581395348837209
adamiak-v2,24,auburn-snoqualmie_03_20260614,42,6.71,dense,27,2,15,29,0.9310344827586207,0.6428571428571429,0.7605633802816901,0.6904761904761905
adamiak-v2,24,blaine-bellingham_02_20260528,50,4.48,mid,3,0,47,3,1.0,0.06,0.11320754716981132,0.06
adamiak-v2,24,blaine-bellingham_03_20260504,29,2.5,sparse,5,1,24,6,0.8333333333333334,0.1724137931034483,0.2857142857142857,0.20689655172413793
adamiak-v2,24,spokane-i90_01_20260622,55,2.73,mid,2,0,53,2,1.0,0.03636363636363636,0.07017543859649122,0.03636363636363636
adamiak-v2,32,Centralia_01_20260511,56,25.45,dense,16,12,40,28,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.5
adamiak-v2,32,Tacoma-Centralia_01_20260429,80,18.02,dense,23,7,57,30,0.7666666666666667,0.2875,0.41818181818181815,0.375
adamiak-v2,32,Tacoma-Centralia_02_20260602,89,19.57,dense,33,8,56,41,0.8048780487804879,0.3707865168539326,0.5076923076923077,0.4606741573033708
adamiak-v2,32,Tri-Cities-New_01_20260611,105,5.35,mid,18,3,87,21,0.8571428571428571,0.17142857142857143,0.2857142857142857,0.2
adamiak-v2,32,Yakima-Toppenish_04_20260620,43,3.39,mid,4,0,39,4,1.0,0.09302325581395349,0.1702127659574468,0.09302325581395349
adamiak-v2,32,auburn-snoqualmie_03_20260614,42,6.71,dense,15,3,27,18,0.8333333333333334,0.35714285714285715,0.5,0.42857142857142855
adamiak-v2,32,blaine-bellingham_03_20260504,29,2.5,sparse,3,0,26,3,1.0,0.10344827586206896,0.1875,0.10344827586206896
adamiak-v2,32,spokane-i90_01_20260622,55,2.73,mid,2,0,53,2,1.0,0.03636363636363636,0.07017543859649122,0.03636363636363636
adamiak-v2,48,Centralia_01_20260511,56,25.45,dense,48,28,8,76,0.631578947368421,0.8571428571428571,0.7272727272727273,1.3571428571428572
adamiak-v2,48,Tacoma-Centralia_01_20260429,80,18.02,dense,62,20,18,82,0.7560975609756098,0.775,0.7654320987654321,1.025
adamiak-v2,48,Tacoma-Centralia_02_20260602,89,19.57,dense,75,27,14,102,0.7352941176470589,0.8426966292134831,0.7853403141361257,1.146067415730337
adamiak-v2,48,Tri-Cities-New_01_20260611,105,5.35,mid,72,15,33,87,0.8275862068965517,0.6857142857142857,0.75,0.8285714285714286
adamiak-v2,48,Yakima-Toppenish_02_20260509,31,2.45,sparse,10,1,21,11,0.9090909090909091,0.3225806451612903,0.47619047619047616,0.3548387096774194
adamiak-v2,48,Yakima-Toppenish_04_20260620,43,3.39,mid,33,11,10,44,0.75,0.7674418604651163,0.7586206896551724,1.0232558139534884
adamiak-v2,48,auburn-snoqualmie_03_20260614,42,6.71,dense,37,16,5,53,0.6981132075471698,0.8809523809523809,0.7789473684210526,1.2619047619047619
adamiak-v2,48,blaine-bellingham_02_20260528,50,4.48,mid,8,0,42,8,1.0,0.16,0.27586206896551724,0.16
adamiak-v2,48,blaine-bellingham_03_20260504,29,2.5,sparse,15,5,14,20,0.75,0.5172413793103449,0.6122448979591837,0.6896551724137931
adamiak-v2,48,spokane-i90_01_20260622,55,2.73,mid,9,0,46,9,1.0,0.16363636363636364,0.28125,0.16363636363636364
adamiak-v2,64,Centralia_01_20260511,56,25.45,dense,52,32,4,84,0.6190476190476191,0.9285714285714286,0.7428571428571429,1.5
adamiak-v2,64,Tacoma-Centralia_01_20260429,80,18.02,dense,65,26,15,91,0.7142857142857143,0.8125,0.7602339181286549,1.1375
adamiak-v2,64,Tacoma-Centralia_02_20260602,89,19.57,dense,83,31,6,114,0.7280701754385965,0.9325842696629213,0.8177339901477833,1.2808988764044944
adamiak-v2,64,Tri-Cities-New_01_20260611,105,5.35,mid,83,27,22,110,0.7545454545454545,0.7904761904761904,0.772093023255814,1.0476190476190477
