model,window,hits,n
echo-v0,64,10,60
echo-v0,48,0,60
echo-v0,32,2,60
echo-v0,24,0,60
echo-jitter,64,36,60
echo-jitter,48,35,60
echo-jitter,32,31,60
echo-jitter,24,24,60
centralia-heldout,64,26,60
centralia-heldout,48,22,60
centralia-heldout,32,26,60
centralia-heldout,24,25,60
base-default,64,50,60
base-default,48,35,60
base-default,32,1,60
base-default,24,0,60
adamiak-v1,64,58,60
adamiak-v1,48,50,60
adamiak-v1,32,29,60
adamiak-v1,24,28,60
adamiak-v2,64,58,60
adamiak-v2,48,49,60
adamiak-v2,32,0,60
adamiak-v2,24,2,60
3,64,59,60
3,48,31,60
3,32,0,60
3,24,0,60
adamiak-all,64,53,60
adamiak-all,48,6,60
adamiak-all,32,0,60
adamiak-all,24,0,60
jitter-mv,64,60,60
jitter-mv,48,60,60
jitter-mv,32,60,60
jitter-mv,24,57,60
warmup-v1,64,60,60
warmup-v1,48,54,60
warmup-v1,32,59,60
warmup-v1,24,60,60
nojitter-v1,64,60,60
nojitter-v1,48,60,60
nojitter-v1,32,58,60
nojitter-v1,24,60,60
