model,window,threshold,TP,FP,FN,P,R,F1,ratio
adamiak-v2,24,0.05,228,66,352,0.7755102040816326,0.3931034482758621,0.5217391304347826,0.506896551724138
adamiak-v2,24,0.1,180,47,400,0.7929515418502202,0.3103448275862069,0.44609665427509293,0.3913793103448276
adamiak-v2,24,0.15,142,39,438,0.7845303867403315,0.24482758620689654,0.3731931668856767,0.3120689655172414
adamiak-v2,24,0.2,122,28,458,0.8133333333333334,0.2103448275862069,0.33424657534246577,0.25862068965517243
adamiak-v2,24,0.25,113,23,467,0.8308823529411765,0.19482758620689655,0.31564245810055863,0.23448275862068965
adamiak-v2,24,0.3,103,20,477,0.8373983739837398,0.17758620689655172,0.2930298719772404,0.2120689655172414
adamiak-v2,24,0.35,96,18,484,0.8421052631578947,0.16551724137931034,0.276657060518732,0.19655172413793104
adamiak-v2,24,0.4,84,14,496,0.8571428571428571,0.14482758620689656,0.24778761061946902,0.16896551724137931
adamiak-v2,24,0.45,72,11,508,0.8674698795180723,0.12413793103448276,0.2171945701357466,0.14310344827586208
adamiak-v2,24,0.5,59,11,521,0.8428571428571429,0.10172413793103448,0.18153846153846154,0.1206896551724138
adamiak-v2,24,0.55,54,8,526,0.8709677419354839,0.09310344827586207,0.16822429906542055,0.10689655172413794
adamiak-v2,24,0.6,49,6,531,0.8909090909090909,0.08448275862068966,0.15433070866141732,0.09482758620689655
adamiak-v2,24,0.65,45,5,535,0.9,0.07758620689655173,0.14285714285714285,0.08620689655172414
adamiak-v2,24,0.7,35,4,545,0.8974358974358975,0.0603448275862069,0.11308562197092084,0.06724137931034482
adamiak-v2,24,0.75,29,3,551,0.90625,0.05,0.09477124183006536,0.05517241379310345
adamiak-v2,24,0.8,23,2,557,0.92,0.039655172413793106,0.07603305785123966,0.04310344827586207
adamiak-v2,24,0.85,18,1,562,0.9473684210526315,0.03103448275862069,0.06010016694490818,0.032758620689655175
adamiak-v2,24,0.9,12,1,568,0.9230769230769231,0.020689655172413793,0.04047217537942664,0.022413793103448276
adamiak-v2,24,0.95,6,0,574,1.0,0.010344827586206896,0.020477815699658702,0.010344827586206896
adamiak-v2,32,0.05,103,18,477,0.8512396694214877,0.17758620689655172,0.29386590584878747,0.20862068965517241
adamiak-v2,32,0.1,72,12,508,0.8571428571428571,0.12413793103448276,0.21686746987951808,0.14482758620689656
adamiak-v2,32,0.15,58,9,522,0.8656716417910447,0.1,0.17928902627511592,0.11551724137931034
adamiak-v2,32,0.2,48,6,532,0.8888888888888888,0.08275862068965517,0.15141955835962145,0.09310344827586207
adamiak-v2,32,0.25,35,3,545,0.9210526315789473,0.0603448275862069,0.11326860841423948,0.06551724137931035
adamiak-v2,32,0.3,30,3,550,0.9090909090909091,0.05172413793103448,0.09787928221859707,0.056896551724137934
adamiak-v2,32,0.35,24,2,556,0.9230769230769231,0.041379310344827586,0.07920792079207921,0.04482758620689655
adamiak-v2,32,0.4,20,1,560,0.9523809523809523,0.034482758620689655,0.06655574043261231,0.03620689655172414
adamiak-v2,32,0.45,16,1,564,0.9411764705882353,0.027586206896551724,0.05360134003350084,0.029310344827586206
adamiak-v2,32,0.5,13,1,567,0.9285714285714286,0.022413793103448276,0.04377104377104377,0.02413793103448276
adamiak-v2,32,0.55,10,0,570,1.0,0.017241379310344827,0.03389830508474576,0.017241379310344827
adamiak-v2,32,0.6,7,0,573,1.0,0.01206896551724138,0.02385008517887564,0.01206896551724138
adamiak-v2,32,0.65,7,0,573,1.0,0.01206896551724138,0.02385008517887564,0.01206896551724138
adamiak-v2,32,0.7,5,0,575,1.0,0.008620689655172414,0.017094017094017096,0.008620689655172414
adamiak-v2,32,0.75,4,0,576,1.0,0.006896551724137931,0.0136986301369863,0.006896551724137931
adamiak-v2,32,0.8,4,0,576,1.0,0.006896551724137931,0.0136986301369863,0.006896551724137931
adamiak-v2,32,0.85,3,0,577,1.0,0.005172413793103448,0.010291595197255575,0.005172413793103448
adamiak-v2,32,0.9,2,0,578,1.0,0.0034482758620689655,0.006872852233676976,0.0034482758620689655
adamiak-v2,32,0.95,1,0,579,1.0,0.0017241379310344827,0.0034423407917383822,0.0017241379310344827
adamiak-v2,48,0.05,394,172,186,0.696113074204947,0.6793103448275862,0.68760907504363,0.9758620689655172
adamiak-v2,48,0.1,379,148,201,0.7191650853889943,0.653448275862069,0.6847335140018067,0.9086206896551724
adamiak-v2,48,0.15,361,136,219,0.7263581488933601,0.6224137931034482,0.6703806870937791,0.8568965517241379
adamiak-v2,48,0.2,349,123,231,0.739406779661017,0.6017241379310345,0.6634980988593155,0.8137931034482758
adamiak-v2,48,0.25,337,108,243,0.7573033707865169,0.5810344827586207,0.6575609756097561,0.7672413793103449
adamiak-v2,48,0.3,323,100,257,0.7635933806146572,0.5568965517241379,0.6440677966101694,0.7293103448275862
adamiak-v2,48,0.35,313,93,267,0.770935960591133,0.5396551724137931,0.6348884381338742,0.7
adamiak-v2,48,0.4,301,80,279,0.7900262467191601,0.5189655172413793,0.6264308012486993,0.656896551724138
adamiak-v2,48,0.45,287,70,293,0.803921568627451,0.49482758620689654,0.6125933831376734,0.6155172413793103
adamiak-v2,48,0.5,276,62,304,0.8165680473372781,0.47586206896551725,0.6013071895424836,0.5827586206896552
adamiak-v2,48,0.55,266,54,314,0.83125,0.4586206896551724,0.5911111111111111,0.5517241379310345
adamiak-v2,48,0.6,249,47,331,0.8412162162162162,0.42931034482758623,0.5684931506849316,0.5103448275862069
adamiak-v2,48,0.65,235,40,345,0.8545454545454545,0.4051724137931034,0.5497076023391813,0.47413793103448276
adamiak-v2,48,0.7,217,33,363,0.868,0.3741379310344828,0.5228915662650603,0.43103448275862066
adamiak-v2,48,0.75,188,32,392,0.8545454545454545,0.32413793103448274,0.47,0.3793103448275862
adamiak-v2,48,0.8,167,22,413,0.8835978835978836,0.28793103448275864,0.4343302990897269,0.3258620689655172
adamiak-v2,48,0.85,134,15,446,0.8993288590604027,0.23103448275862068,0.3676268861454047,0.25689655172413794
adamiak-v2,48,0.9,84,7,496,0.9230769230769231,0.14482758620689656,0.2503725782414307,0.15689655172413794
adamiak-v2,48,0.95,32,2,548,0.9411764705882353,0.05517241379310345,0.10423452768729642,0.05862068965517241
adamiak-v2,64,0.05,401,159,179,0.7160714285714286,0.6913793103448276,0.7035087719298245,0.9655172413793104
adamiak-v2,64,0.1,388,143,192,0.7306967984934086,0.6689655172413793,0.6984698469846985,0.9155172413793103
adamiak-v2,64,0.15,380,130,200,0.7450980392156863,0.6551724137931034,0.6972477064220184,0.8793103448275862
adamiak-v2,64,0.2,372,124,208,0.75,0.6413793103448275,0.6914498141263941,0.8551724137931035
adamiak-v2,64,0.25,362,111,218,0.7653276955602537,0.6241379310344828,0.6875593542260209,0.8155172413793104
adamiak-v2,64,0.3,348,100,232,0.7767857142857143,0.6,0.6770428015564203,0.7724137931034483
adamiak-v2,64,0.35,337,89,243,0.7910798122065728,0.5810344827586207,0.6699801192842942,0.7344827586206897
adamiak-v2,64,0.4,330,78,250,0.8088235294117647,0.5689655172413793,0.6680161943319838,0.7034482758620689
adamiak-v2,64,0.45,310,70,270,0.8157894736842105,0.5344827586206896,0.6458333333333334,0.6551724137931034
adamiak-v2,64,0.5,294,65,286,0.8189415041782729,0.506896551724138,0.6261980830670927,0.6189655172413793
adamiak-v2,64,0.55,281,58,299,0.8289085545722714,0.4844827586206897,0.6115342763873776,0.5844827586206897
adamiak-v2,64,0.6,262,51,318,0.8370607028753994,0.4517241379310345,0.5867861142217246,0.5396551724137931
adamiak-v2,64,0.65,241,45,339,0.8426573426573427,0.41551724137931034,0.5565819861431871,0.49310344827586206
adamiak-v2,64,0.7,219,44,361,0.8326996197718631,0.3775862068965517,0.5195729537366548,0.453448275862069
adamiak-v2,64,0.75,186,38,394,0.8303571428571429,0.32068965517241377,0.4626865671641791,0.38620689655172413
adamiak-v2,64,0.8,165,29,415,0.8505154639175257,0.28448275862068967,0.4263565891472868,0.33448275862068966
adamiak-v2,64,0.85,129,21,451,0.86,0.22241379310344828,0.35342465753424657,0.25862068965517243
adamiak-v2,64,0.9,91,11,489,0.8921568627450981,0.15689655172413794,0.2668621700879765,0.17586206896551723
adamiak-v2,64,0.95,38,3,542,0.926829268292683,0.06551724137931035,0.12238325281803543,0.0706896551724138
warmup-v1,24,0.05,351,283,229,0.5536277602523659,0.6051724137931035,0.5782537067545305,1.0931034482758621
